pop,sex,family,id,day,l,w,a,bod
Addis,0,12,30,1,1.5895266382,1.2347707205,1.286115968,11.710076735
Addis,0,12,31,1,1.3368462947,1.3903415692,1.3267998175,12.0600142367
Addis,0,13,32,1,2.1348672067,2.0364293511,2.7601821268,21.4650686396
Addis,0,13,33,1,0.8229291837,0.7231022574,0.3878475662,5.2553255926
Addis,0,13,34,1,1.6479848543,1.3351116391,1.4192421829,12.6953966394
Addis,0,14,35,1,1.7482517603,1.7796998349,2.1267723926,17.3226246509
Addis,0,14,36,1,1.51322028,0.9738279431,0.8925355791,8.9491837766
Addis,0,14,37,1,1.6742378335,1.4349866288,1.6341332708,14.1591622577
Addis,0,15,38,1,0.9950352207,0.7967918868,0.5723567177,6.557788815
Addis,0,15,39,1,1.3836234935,1.1438449189,0.9921363315,9.6558503433
Addis,0,15,40,1,1.8541634689,1.8195351721,2.2813985075,18.4746928933
Addis,0,16,41,1,1.9047825668,1.7583908785,2.2615528527,18.2125379803
Addis,0,16,42,1,1.6652954373,1.2575243362,1.3740244089,12.3163060996
Addis,0,16,43,1,1.1871181023,1.119448529,0.8816052774,8.9425547175
Addis,0,17,44,1,1.4172407324,1.2311665214,1.1142842378,10.4447338612
Addis,0,17,45,1,1.6583686089,1.3617619994,1.4622299122,12.9212684995
Addis,0,17,46,1,1.4882135625,1.2291981956,1.2784625326,11.7263035815
Addis,0,18,47,1,1.4932831161,1.4903710833,1.3864179794,12.3327654759
Addis,0,18,48,1,1.6744556942,1.3803938915,1.5321051411,13.3982796577
Addis,0,18,49,1,1.496492548,1.3825434404,1.320369627,12.0156812727
Addis,0,19,50,1,1.5779845994,1.3811727551,1.4306353503,12.6363911816
Addis,0,19,51,1,1.8023331201,1.6074622976,1.8707639375,15.6848861707
Addis,0,19,52,1,1.4688365332,1.2377157772,1.2697533841,11.666065928
Addis,0,20,53,1,1.4910007019,1.4237740055,1.3536562455,12.1072659577
Addis,0,20,54,1,1.3122870558,1.0709533529,0.9795071586,9.5665729761
Addis,0,21,55,1,1.0362118794,1.1549648729,0.7881073352,8.1295461978
Addis,0,21,56,1,1.3757364577,1.0719709212,0.9744344857,9.5306875236
Addis,0,21,57,1,1.2695095143,0.9454180034,0.8039940999,8.3875474138
Addis,0,22,58,1,1.6375926273,1.3752236311,1.4940792709,13.070632647
Addis,0,22,59,1,1.0062545601,1.0317110022,0.6917189672,7.5046566317
Addis,0,22,60,1,1.5762489657,1.5379195106,1.5219853361,13.3974634276
Addis,0,23,61,1,1.623305894,1.2980435377,1.3315393745,11.9547714314
Addis,0,23,62,1,1.5229287799,1.298020876,1.4550756644,12.8723198153
Addis,0,24,63,1,1.5897644948,1.6266700361,1.7519955818,14.8201245129
Addis,0,24,64,1,1.2862469994,1.1488480925,0.9698257224,9.4980708727
Addis,0,25,65,1,1.343709126,1.2784824918,1.1142332675,10.4443768587
Addis,0,25,66,1,1.4967733632,1.1250966021,1.0503492069,10.06619639
Addis,0,25,67,1,1.4047262116,1.0920238217,1.0485755392,10.124032926
Addis,0,26,68,1,1.8550281359,1.523930694,1.9632599112,16.2361086792
Addis,0,26,69,1,1.5209547043,1.3743408233,1.3634862226,12.2438111844
Addis,0,26,70,1,2.0196515984,1.9770546125,2.6226460748,20.7036375322
Addis,0,27,71,1,1.4782775089,1.0755666768,0.924783464,9.107554299
Addis,0,27,72,1,1.679486261,1.4477835128,1.5467887272,13.4982770574
Addis,0,27,73,1,1.679082383,1.8825971501,2.0682461484,17.0673227107
Addis,0,28,74,1,1.4641605258,1.3556963524,1.3817891739,12.3009333095
Addis,0,28,75,1,1.5728066679,1.5000229414,1.5046302245,13.2109478694
Addis,0,28,76,1,1.8532472274,1.6458821578,2.0040279141,16.6408189613
Addis,0,29,77,1,1.522713705,1.4564207305,1.4056421326,12.4648721027
Addis,0,29,78,1,1.4429264448,1.1799351274,1.1557739175,10.8046910757
Addis,0,29,79,1,1.3730499918,1.3070870097,1.149038945,10.8274710945
Addis,0,30,80,1,1.4810364085,1.1966224217,1.1358427482,10.5956115085
Addis,0,30,81,1,1.6511908281,1.5399066662,1.6261796734,14.0375352181
Addis,0,30,82,1,1.3861509845,1.488668457,1.3769341415,12.4050509553
Addis,0,31,83,1,1.337700202,1.3273533478,1.1871578965,10.9537902084
Addis,0,31,84,1,1.4031503704,1.4976496426,1.350478005,12.154258431
Addis,0,31,85,1,1.304122091,1.303320554,1.0334027517,10.017329472
Addis,0,32,86,1,1.5519197348,1.5091081683,1.5259447371,13.2881289443
Addis,0,32,87,1,1.1917544896,1.1323017534,0.9292173521,9.2101375002
Addis,0,33,88,1,1.8462438353,1.4536665662,1.7397388043,14.7375244737
Addis,0,33,89,1,1.4193464004,1.3517867063,1.2670073888,11.5778446415
Addis,0,34,90,1,1.5854489163,1.3429818653,1.3758378941,12.2599930669
Addis,0,34,91,1,1.6369441272,1.3810593295,1.4653706565,12.9427506636
Addis,0,35,92,1,1.748379637,1.6294096639,1.8207533213,15.2825539559
Addis,0,35,93,1,1.5933109876,1.4961688491,1.5687863499,13.6479304641
Addis,0,35,94,1,1.6541776657,1.5485745327,1.6464327353,14.2424182351
Addis,0,36,95,1,1.5412022264,1.3461048343,1.4206029344,12.5675737472
Addis,0,36,96,1,1.6659504477,1.4258129996,1.5603617305,13.5906380584
Addis,0,36,97,1,1.6066723886,1.7074002527,1.7484807708,14.9311398201
Addis,0,37,98,1,1.6064213466,1.4100367207,1.460664678,12.8421299599
Addis,0,37,99,1,1.6688351478,1.3808906373,1.5445480104,13.4830227795
Addis,0,38,100,1,1.4427892963,1.05390958,0.9813126127,9.5085950927
Addis,0,38,101,1,1.3525296926,1.2185846513,1.0376053124,9.976525369
Addis,0,38,102,1,1.4871025897,1.3635778771,1.2870723778,11.7858206162
Addis,0,39,103,1,1.9999928434,2.0227980533,2.7592878571,21.4592867652
Addis,0,39,104,1,1.4820489867,1.6075614839,1.5653810819,13.624775847
Addis,0,39,105,1,1.944945316,1.7268038513,2.1896707161,17.8705613754
Addis,0,40,106,1,1.273506156,1.1883665779,1.0792512332,10.1990354247
Addis,0,40,107,1,1.5878456416,1.3297621829,1.4555108643,12.8752980015
Addis,0,40,108,1,1.2723814096,1.193018575,0.9489497975,9.4210514793
Addis,0,41,109,1,1.8779413209,1.5148034524,1.8771098345,15.6604208416
Addis,0,41,110,1,1.4558995475,1.052627198,0.9231918556,9.1673291637
Addis,0,42,111,1,1.3368462947,1.3903415692,1.3267998175,11.9220644179
Addis,0,42,112,1,1.454899361,1.4130677627,1.3240157985,11.9718569281
Addis,0,42,113,1,1.5895266382,1.2347707205,1.286115968,11.7792109205
Addis,0,43,114,1,1.6479848543,1.3351116391,1.4192421829,12.5582364411
Addis,0,43,115,1,2.1348672067,2.0364293511,2.7601821268,21.5297115706
Addis,0,43,116,1,0.8229291837,0.7231022574,0.3878475662,5.3308612606
Addis,0,44,117,1,1.6742378335,1.4349866288,1.6341332708,14.0236644005
Addis,0,44,118,1,1.7482517603,1.7796998349,2.1267723926,17.3888231358
Addis,0,44,119,1,1.51322028,0.9738279431,0.8925355791,9.0204065108
Addis,0,45,120,1,1.8541634689,1.8195351721,2.2813985075,18.3431597337
Addis,0,45,121,1,0.9950352207,0.7967918868,0.5723567177,6.6315016027
Addis,0,45,122,1,1.3836234935,1.1438449189,0.9921363315,9.7264766757
Addis,0,46,123,1,1.1871181023,1.119448529,0.8816052774,8.7999076668
Addis,0,46,124,1,1.9047825668,1.7583908785,2.2615528527,18.2783697621
Addis,0,46,125,1,1.6652954373,1.2575243362,1.3740244089,12.3850548725
Addis,0,47,126,1,1.4882135625,1.2291981956,1.2784625326,11.587920173
Addis,0,47,127,1,1.4172407324,1.2311665214,1.1142842378,10.5147489554
Addis,0,47,128,1,1.6583686089,1.3617619994,1.4622299122,12.9896530599
Addis,0,48,129,1,1.496492548,1.3825434404,1.320369627,11.8776746306
Addis,0,48,130,1,1.4932831161,1.4903710833,1.3864179794,12.4015040795
Addis,0,48,131,1,1.6744556942,1.3803938915,1.5321051411,13.4663901095
Addis,0,49,132,1,1.4688365332,1.2377157772,1.2697533841,11.5276027822
Addis,0,49,133,1,1.5779845994,1.3811727551,1.4306353503,12.7049448433
Addis,0,49,134,1,1.8023331201,1.6074622976,1.8707639375,15.7518175545
Addis,0,50,135,1,1.4910007019,1.4237740055,1.3536562455,12.1072659577
Addis,0,50,136,1,1.3122870558,1.0709533529,0.9795071586,9.5665729761
Addis,0,51,137,1,1.2695095143,0.9454180034,0.8039940999,8.2438716952
Addis,0,51,138,1,1.0362118794,1.1549648729,0.7881073352,8.2015296015
Addis,0,51,139,1,1.3757364577,1.0719709212,0.9744344857,9.6014158983
Addis,0,52,140,1,1.5762489657,1.5379195106,1.5219853361,13.2611258757
Addis,0,52,141,1,1.6375926273,1.3752236311,1.4940792709,13.138930188
Addis,0,52,142,1,1.0062545601,1.0317110022,0.6917189672,7.5772792912
Addis,0,53,143,1,1.5229287799,1.298020876,1.4550756644,12.8038660707
Addis,0,53,144,1,1.623305894,1.2980435377,1.3315393745,12.0237474504
Addis,0,54,145,1,1.2862469994,1.1488480925,0.9698257224,9.4272570486
Addis,0,54,146,1,1.5897644948,1.6266700361,1.7519955818,14.8874779466
Addis,0,55,147,1,1.4047262116,1.0920238217,1.0485755392,9.983355404
Addis,0,55,148,1,1.343709126,1.2784824918,1.1142332675,10.5143922179
Addis,0,55,149,1,1.4967733632,1.1250966021,1.0503492069,10.1364981616
Addis,0,56,150,1,2.0196515984,1.9770546125,2.6226460748,20.5737647538
Addis,0,56,151,1,1.8550281359,1.523930694,1.9632599112,16.3027842801
Addis,0,56,152,1,1.5209547043,1.3743408233,1.3634862226,12.3126049276
Addis,0,57,153,1,1.679082383,1.8825971501,2.0682461484,16.9346215622
Addis,0,57,154,1,1.4782775089,1.0755666768,0.924783464,9.1786389516
Addis,0,57,155,1,1.679486261,1.4477835128,1.5467887272,13.5663314177
Addis,0,58,156,1,1.8532472274,1.6458821578,2.0040279141,16.5077424978
Addis,0,58,157,1,1.4641605258,1.3556963524,1.3817891739,12.369691594
Addis,0,58,158,1,1.5728066679,1.5000229414,1.5046302245,13.2791646604
Addis,0,59,159,1,1.3730499918,1.3070870097,1.149038945,10.687847482
Addis,0,59,160,1,1.522713705,1.4564207305,1.4056421326,12.5335296259
Addis,0,59,161,1,1.4429264448,1.1799351274,1.1557739175,10.8744440336
Addis,0,60,162,1,1.3861509845,1.488668457,1.3769341415,12.2675355484
Addis,0,60,163,1,1.4810364085,1.1966224217,1.1358427482,10.6655155284
Addis,0,60,164,1,1.6511908281,1.5399066662,1.6261796734,14.1052948189
Addis,1,1,165,1,1.4990503548,1.3145063523,1.1993392249,9.224590521
Addis,1,1,166,1,0.9473844114,0.600098183,0.410402207,4.9156019465
Addis,1,2,167,1,1.265223811,1.1367007038,0.9671667154,8.0235851682
Addis,1,2,168,1,1.2611149952,1.200448594,1.0022045439,8.1357748429
Addis,1,2,169,1,1.7238153907,1.3984909142,1.5452849169,10.8302469096
Addis,1,3,170,1,1.5966827112,1.1892804879,1.1557555952,9.0013453006
Addis,1,3,171,1,1.1861078174,0.8724024653,0.673456303,6.3822708603
Addis,1,3,172,1,1.1981104751,1.0093215862,0.7147603759,6.533094607
Addis,1,4,173,1,1.4251706102,0.8657329802,0.7536829563,6.8905272823
Addis,1,5,174,1,1.6219694369,1.0424581901,1.1856456219,9.1545525532
Addis,1,5,175,1,1.2601023456,0.8368957387,0.7581281934,6.8412563816
Addis,1,6,176,1,0.7961535393,0.817665355,0.3940595897,4.8999068214
Addis,1,6,177,1,0.9698603617,0.9174512209,0.5829954426,5.8853633144
Addis,1,7,178,1,1.5866537563,1.2377211588,1.2802734525,9.6366581082
Addis,1,7,179,1,1.1288374272,0.9613026107,0.7003172601,6.5284900527
Addis,1,7,180,1,1.4316327679,1.099130928,1.0415665134,8.2702292801
Addis,1,8,181,1,1.0870368048,1.2876329594,0.8387757317,7.3458238518
Addis,1,8,182,1,1.2580924073,0.7902159947,0.6741470107,6.3860381251
Addis,1,9,183,1,1.1912392748,1.1400525484,0.819975413,7.2456698723
Addis,1,9,184,1,1.4130772995,0.918969199,0.7988684498,7.0601544685
Addis,1,9,185,1,1.1678522493,1.1151559303,0.9341480448,7.7070573291
Addis,1,10,186,1,1.4265514946,1.0240567876,0.95424769,7.9558571157
Addis,1,10,187,1,1.3761760816,0.7404303072,0.6422088208,6.21142512
Addis,1,10,188,1,1.1729840303,0.8521523862,0.6785405241,6.3358162139
Addis,1,11,189,1,1.1718626975,0.9609010723,0.7533662056,6.8888227351
Addis,1,11,190,1,1.4321179059,1.4968789016,1.4674343799,10.5101538779
Addis,1,11,191,1,1.2155762148,1.0378878612,0.7794082748,6.882639247
Addis,1,12,192,1,1.1153996685,0.9096599,0.6525257379,6.3422396281
Addis,1,13,193,1,1.8806541359,1.1808596494,1.382697035,10.1537324088
Addis,1,13,194,1,1.1924299048,0.7861204224,0.5801811806,5.8697881508
Addis,1,13,195,1,1.3573615423,0.9057145582,0.7656000832,6.8082479321
Addis,1,14,196,1,1.4323625049,1.144445028,1.0799083892,8.6104784686
Addis,1,14,197,1,1.1418815691,1.0239497939,0.7733026902,6.9229316468
Addis,1,14,198,1,1.2968704841,1.0575081585,0.9167411398,7.6151226015
Addis,1,15,199,1,1.1433883356,0.9965436211,0.7149709779,6.6816455653
Addis,1,15,200,1,0.7313809861,0.6353659616,0.3126212758,4.3511974843
Addis,1,15,201,1,1.0854927865,0.8253788702,0.6886666347,6.3910778475
Addis,1,16,202,1,2.0144667977,1.3860274577,1.7769254748,12.1034506473
Addis,1,16,203,1,1.4044272567,1.0351409296,0.8934307644,7.5637282898
Addis,1,16,204,1,1.2274137747,0.999640184,0.8417714364,7.2168844058
Addis,1,17,205,1,1.1773164355,1.1284684389,0.9163873405,7.7567827281
Addis,1,17,206,1,0.8627861015,1.0398626763,0.6198963479,6.0889233805
Addis,1,17,207,1,1.658405411,1.3388257017,1.4409808394,10.3097748721
Addis,1,18,208,1,1.3020832354,1.0809224266,0.8991105875,7.6656403463
Addis,1,18,209,1,1.4508306404,0.939620616,0.8195254901,7.1706867989
Addis,1,19,210,1,1.0827562789,1.0314121374,0.7460043193,6.8491848025
Addis,1,19,211,1,1.1789206666,1.0092443867,0.7909983761,7.0179628266
Addis,1,20,212,1,1.6564590742,1.336676545,1.4530581261,10.5062540071
Addis,1,20,213,1,1.760842902,1.4683016733,1.7583733945,11.9466477146
Addis,1,21,214,1,1.3433308477,1.1756596449,1.0709665454,8.5641937597
Addis,1,21,215,1,1.2790094394,1.0193419796,0.7719716237,6.9157741391
Addis,1,21,216,1,1.5505349075,1.1723343368,1.1429052059,8.7953798909
Addis,1,22,217,1,0.8089264807,0.703114873,0.4101002488,4.9914280335
Addis,1,22,218,1,1.5187517127,1.3957659178,1.2661747567,9.4960126883
Addis,1,23,219,1,1.2091513733,0.6289464558,0.5010589417,5.5050189645
Addis,1,23,220,1,1.2388798897,1.2212396758,0.9542210492,7.8843325527
Addis,1,24,221,1,1.7325989027,1.3937014973,1.532504693,10.9018053292
Addis,1,24,222,1,1.3776959585,1.2121976769,1.1205126491,8.750015942
Addis,1,25,223,1,0.9295189483,0.620692788,0.3999427536,4.9335084105
Addis,1,25,224,1,1.6576384612,1.538479379,1.638118358,11.3568101731
Addis,1,25,225,1,1.1799198521,1.1913090188,0.9593659525,7.8399041925
Addis,1,26,226,1,1.0920606732,0.6257187322,0.4759000671,5.3638403665
Addis,1,26,227,1,1.51747175,1.2728312177,1.2325440066,9.3247221272
Addis,1,27,228,1,1.8225765041,1.3805295166,1.6088443474,11.2795148449
Addis,1,27,229,1,1.2173624021,1.1020894463,0.8402690837,7.281380513
Addis,1,27,230,1,1.4628316125,1.4105180902,1.3412212304,9.8076044212
Addis,1,28,231,1,1.7750241626,1.3084712468,1.5233471208,10.8563419888
Addis,1,28,232,1,1.4025778249,1.2267204689,1.2031209508,9.1744060567
Addis,1,28,233,1,1.1889801102,0.767665599,0.5858794389,5.826042822
Addis,1,29,234,1,1.4514834546,1.4230596351,1.345412126,9.966053835
Addis,1,30,235,1,1.2140749786,1.044736865,0.8823840441,7.5772180065
Addis,1,30,236,1,2.0201108907,1.4668308367,1.815455688,12.2248254486
Addis,1,30,237,1,0.9590025205,0.7636853728,0.5101721288,5.4036411771
Addis,1,31,238,1,1.4773114567,1.383668625,1.3856258827,10.1684491065
Addis,1,31,239,1,1.1312838638,0.8264759903,0.6462220885,6.233413672
Addis,1,32,240,1,0.9819821158,1.0171977239,0.7107351695,6.658720573
Addis,1,33,241,1,1.1120821531,0.988270395,0.665479619,6.412905732
Addis,1,33,242,1,1.2431488318,1.136605172,0.8922741816,7.5576055523
Addis,1,33,243,1,1.5094548093,1.3108612962,1.3126355925,9.6628795173
Addis,1,34,244,1,1.649860986,1.3586462227,1.5000395339,10.7404778778
Addis,1,35,245,1,1.1980158444,1.2879404319,0.9826490042,8.104618536
Addis,1,35,246,1,1.3243829309,1.1242897119,0.9940027081,8.0928939639
Addis,1,35,247,1,1.4010323168,1.2700708057,1.1497060241,8.8304215337
Addis,1,36,248,1,1.7412238999,1.6209503008,1.6488982039,11.4767972859
Addis,1,36,249,1,1.3038582825,1.3159969427,1.1835353226,9.0741062392
Addis,1,36,250,1,1.2337185239,0.7107280779,0.5506817419,5.6303574621
Addis,1,37,251,1,1.5417195787,1.2530944787,1.2356116466,9.4096608366
Addis,1,37,252,1,1.6227659654,1.0756720197,1.1307762739,8.802938584
Addis,1,37,253,1,1.3091934789,0.7849227718,0.6912496037,6.4051604726
Addis,1,38,254,1,1.7193568534,1.3978715039,1.5403285604,10.9406209174
Addis,1,38,255,1,1.518347887,1.4626588085,1.4538917848,10.4424717269
Addis,1,38,256,1,1.5736359569,1.3471285965,1.3278331051,9.7398695604
Addis,1,39,257,1,1.6063481171,1.4087826373,1.4455447052,10.4687110717
Addis,1,39,258,1,0.9048914056,0.9088692255,0.5550048981,5.7301255764
Addis,1,40,259,1,1.5920469981,1.5218140859,1.6578582085,11.5208469988
Addis,1,40,260,1,1.5258329637,1.1189962969,1.1403681381,8.8523466958
Addis,1,40,261,1,1.2000435518,1.0061922564,0.7677291216,6.8197273959
Addis,1,41,262,1,1.1749058495,1.2789224889,0.9614544307,7.9936509806
Addis,1,41,263,1,1.5547819868,1.3642020297,1.2918633132,9.6264846322
Addis,1,41,264,1,1.3111747386,1.2456089265,1.0677953024,8.4067011891
Addis,1,42,265,1,1.5863281733,1.0657717304,1.0563237217,8.4883041076
Addis,1,42,266,1,1.4715925501,1.4155288691,1.4247931848,10.2967818994
Addis,1,42,267,1,1.4569239799,1.1921264236,1.101555669,8.5817882323
Addis,1,43,268,1,1.0748992917,0.9672061607,0.5851067828,5.972157989
Addis,1,43,269,1,1.073089409,0.6648844681,0.4534779774,5.1605753546
Addis,1,43,270,1,1.6269658889,1.4579672873,1.6078775551,11.1404607845
Addis,1,44,271,1,1.6932348132,1.3247612978,1.4796605472,10.6389911248
Addis,1,44,272,1,1.3675790383,1.0705696243,0.977324089,8.0055706297
Addis,1,44,273,1,1.5022884967,1.3020810741,1.3573129315,9.8889085049
Addis,1,45,274,1,1.4354039747,1.4002508629,1.2890558592,9.681183895
Addis,1,45,275,1,0.9872415371,1.0008528828,0.6286014218,6.1367679573
Addis,1,46,276,1,1.0428278449,0.8577182691,0.6122091428,6.1214036124
Addis,1,46,277,1,1.1468859116,0.7889148063,0.6232067432,6.1071256703
Addis,1,47,278,1,1.234321354,1.2270500848,1.0213343587,8.3064756269
Addis,1,47,279,1,1.1401102528,0.9098965025,0.7318169612,6.6992283515
Addis,1,48,280,1,1.1731962174,1.1550159377,0.8554110332,7.4342436341
Addis,1,49,281,1,1.2679711188,1.0863058194,0.8752768731,7.5395919524
Addis,1,50,282,1,1.0378579515,0.7144510711,0.543155656,5.739832021
Addis,1,50,283,1,0.9677718785,0.7382921078,0.4542021133,5.1646757742
Addis,1,51,284,1,1.7470965013,1.2457796983,1.4655049982,10.5683963208
Addis,1,51,285,1,1.2665945108,0.9881410602,0.8645203268,7.4104169284
Addis,1,51,286,1,1.4441074861,1.0385334283,0.9559315233,7.8218352666
Addis,1,52,287,1,1.2993440488,0.9442912478,0.7583615021,6.9156955376
Addis,1,52,288,1,0.9437525731,1.0685232573,0.6066769233,6.0161398747
Addis,1,52,289,1,1.7814338222,1.5238240203,1.7321863034,11.7520995624
Addis,1,53,290,1,0.9676152629,1.0203426779,0.5877855355,5.9869382617
Addis,1,53,291,1,1.0626864003,1.1178055514,0.8486846585,7.3262036168
Addis,1,53,292,1,0.7103356017,0.6476762115,0.3996876627,4.7763994805
Addis,1,54,293,1,1.1859461147,0.9080443053,0.6921588495,6.5580165757
Addis,1,54,294,1,0.8261520459,0.9043974789,0.5623297793,5.7708208816
Addis,1,55,295,1,1.5841671973,0.9253774704,0.9120943012,7.7341528061
Addis,1,55,296,1,1.580135365,1.1501648446,1.1657153109,8.9826780634
Addis,1,56,297,1,1.4822197019,0.6142706014,0.6252374486,6.192918225
Addis,1,56,298,1,1.4062856441,1.5745265512,1.4628382794,10.4871924825
Addis,1,56,299,1,1.1429923663,0.9311786429,0.6963470369,6.432936217
Addis,1,57,300,1,1.7135261811,1.0461414683,1.287309645,9.6723336742
Addis,1,57,301,1,1.669750998,1.3829918726,1.3906683068,10.1254615332
Addis,1,57,302,1,1.7545326477,1.1419010323,1.3913151798,10.060320637
Addis,1,58,303,1,1.1442947815,1.0752235881,0.7858069948,7.0630159115
Addis,1,58,304,1,1.2694688782,0.9064093957,0.8465990265,7.3150996278
Addis,1,58,305,1,1.034414869,0.9654495103,0.7151686823,6.5353124842
Addis,1,59,306,1,1.4499368231,1.3243297813,1.2390459304,9.4271499082
Addis,1,59,307,1,1.8706476163,1.4710285231,1.8512435694,12.3986600062
Addis,1,60,308,1,1.250098612,1.0269918201,0.8533586979,7.4233451578
Addis,1,60,309,1,1.5595936639,1.3001999554,1.2935939932,9.6352634826
Juneau,0,1,310,1,1.1805718614,0.8629787281,0.6865839382,16.4373314861
Juneau,0,1,311,1,1.306650229,1.0326436428,0.9695521027,22.4516648763
Juneau,0,1,312,1,1.6141422851,1.0627531455,1.1178155558,26.1316345974
Juneau,0,2,313,1,2.0102490029,2.0892548655,2.7817302321,60.3244376644
Juneau,0,2,314,1,1.7378665904,1.5842582136,1.8510532664,40.3966546403
Juneau,0,2,315,1,1.7727153694,1.2886593564,1.4671480008,33.1808283366
Juneau,0,3,316,1,1.7523043988,1.2578167532,1.4038358315,30.1891217558
Juneau,0,3,317,1,1.724532038,1.3946286901,1.6156988053,35.4066319484
Juneau,0,4,318,1,1.6317510486,1.1171797817,1.2109511359,26.3327582475
Juneau,0,4,319,1,1.6861051201,1.4717185451,1.7284504663,37.7807910462
Juneau,0,4,320,1,2.3705845625,1.70947824,2.7458481836,61.4212153301
Juneau,0,5,321,1,1.2698017075,1.1337993868,1.03636528,22.9368180905
Juneau,0,5,322,1,1.7782325924,1.3144028836,1.5552419943,34.1464863708
Juneau,0,5,323,1,1.5768594398,1.3863771547,1.4832061004,33.5127444824
Juneau,0,6,324,1,2.3938597539,1.3484703894,2.1637040545,46.3028790087
Juneau,0,6,325,1,1.0614508198,0.5013274276,0.2835114191,10.2287833088
Juneau,0,6,326,1,2.194520007,1.6368754942,2.4426517203,54.4235396795
Juneau,0,7,327,1,2.0939402581,1.5633512273,2.1604270192,46.2305589597
Juneau,0,7,328,1,2.2212298313,1.4715643519,2.1708570929,47.378426107
Juneau,0,7,329,1,1.9684544878,1.4504360811,1.8722331973,41.7465573027
Juneau,0,8,330,1,2.0814254319,1.9129270893,2.6833406231,58.043531132
Juneau,0,8,331,1,1.8246163911,1.4570986071,1.7655607076,38.5688727023
Juneau,0,9,332,1,2.2147720284,2.1784987835,3.2429028406,71.2411011637
Juneau,0,9,333,1,1.4796718172,1.4827743211,1.4587350452,32.1541425328
Juneau,0,9,334,1,2.2966895616,1.7904752779,2.728283861,61.0112676731
Juneau,0,10,335,1,1.6286472947,1.1812114833,1.2753900426,27.6093200162
Juneau,0,10,336,1,2.1584711828,1.4070870504,1.8823954464,41.0709386385
Juneau,0,10,337,1,1.6532885917,1.5436354774,1.7297270466,38.6887109475
Juneau,0,11,338,1,2.0354878422,1.762338451,2.3246577533,49.8823299729
Juneau,0,11,339,1,2.3125138261,1.7165520988,2.6129562013,57.3764373561
Juneau,0,11,340,1,2.1829032399,1.5261355387,2.278753804,50.7131416014
Juneau,0,12,341,1,2.011695394,1.8503075873,2.5117126252,54.1076194511
Juneau,0,12,342,1,1.3417292188,0.7321658296,0.660268373,16.7095742045
Juneau,0,12,343,1,1.9287079668,1.5020002743,1.9083044998,42.5278564428
Juneau,0,13,344,1,1.6421110352,1.5199453078,1.6291808912,34.8222616112
Juneau,0,13,345,1,1.5224763538,1.0992147044,1.1996598054,26.9289748417
Juneau,0,13,346,1,2.3500554792,2.1121420059,3.2539712083,73.509625339
Juneau,0,14,347,1,1.3608424824,1.0626101657,0.9350110964,21.0096881887
Juneau,0,14,348,1,1.7826998575,1.230299664,1.393997436,30.8312795405
Juneau,0,14,349,1,1.9729577673,1.5099057586,1.9667036661,43.7988688821
Juneau,0,15,350,1,1.558484954,0.7707281056,0.8078591466,18.6414252285
Juneau,0,15,351,1,1.5622508058,0.9511229402,1.0234144615,23.4849644931
